Game,Platform,Score,Genre
Doom 3: BFG Edition,Xbox 360,7.6,RPG
Rugby League Live 2,Xbox 360,6,Sports
Rugby League Live 2,PlayStation 3,6,Sports
Doom 3: BFG Edition,PlayStation 3,7.6,RPG
Punch Quest ,iPhone,9.3,Action
Doom 3: BFG Edition,PC,7.6,RPG
He-Man: The Most Powerful Game in the Universe,iPhone,6.8,Action
Silent Hill: Book of Memories,PlayStation Vita,6,Adventure
Diaspora: Shattered Armistice,PC,7.4,"Flight, Action"
Pocket Clothier,iPhone,6.6,Strategy
Pocket Clothier,Android,6.6,Strategy
True Skate,iPhone,6.7,Sports
Ravaged,PC,6.7,Shooter
Zero Escape: Virtue's Last Reward,Nintendo 3DS,9.5,Adventure
Zero Escape: Virtue's Last Reward,PlayStation Vita,9.5,Adventure
The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,9,Adventure
Girls Like Robots,iPhone,8.5,Puzzle
Happy Wars,Xbox 360,4,Action
Dokuro,PlayStation Vita,8.8,Action
Borderlands 2: Captain Scarlett and her Pirate's Booty,PlayStation 3,7.5,"Shooter, RPG"
Naughty Bear: Panic in Paradise,PlayStation 3,2.3,Action
Naughty Bear: Panic in Paradise,Xbox 360,2.3,Action
Skylanders Giants,PlayStation 3,8,"Action, Adventure"
Borderlands 2: Captain Scarlett and her Pirate's Booty,PC,7.5,"Shooter, RPG"
Skylanders Giants,Xbox 360,8,"Action, Adventure"
Skylanders Giants,Wii,8,"Action, Adventure"
Borderlands 2: Captain Scarlett and her Pirate's Booty,Xbox 360,7.5,"Shooter, RPG"
Devil's Attorney,Android,8.3,Strategy
Devil's Attorney,iPhone,8.3,Strategy
Code of Princess ,Nintendo 3DS,6.9,"Action, RPG"
SunFlowers,PlayStation Vita,8,Puzzle
007 Legends,Xbox 360,4.5,Action
007 Legends,PlayStation 3,4.5,Action
Funky Smugglers,iPhone,9,Action
Colour Bind,PC,6.2,None
WRC 3 FIA World Rally Championship,Xbox 360,5,Racing
WRC 3 FIA World Rally Championship,PC,5,Racing
Retro City Rampage,PlayStation 3,5.3,"Action, Adventure"
Retro City Rampage,PC,5.3,"Action, Adventure"
Dance Central 3,Xbox 360,8,Music
WRC 3 FIA World Rally Championship,PlayStation 3,5,Racing
Retro City Rampage,PlayStation Vita,5.3,"Action, Adventure"
The Unfinished Swan,PlayStation 3,9,Puzzle
Forza Horizon,Xbox 360,9,Racing
FIFA Soccer 13,PlayStation Vita,4,Sports
Mugen Souls,PlayStation 3,3.9,"Strategy, RPG"
Crazy Taxi,iPhone,7.1,Action
New Little King's Story,PlayStation Vita,5.8,RPG
Fable: The Journey,Xbox 360,7.2,"Action, RPG"
The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,7.5,Adventure
The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,7.5,Adventure
The Walking Dead: The Game -- Episode 4: Around Every Corner,PlayStation 3,7.5,Adventure
Cortex Command,PC,5,"Action, Simulation"
Derrick the Deathfin,PlayStation 3,7.4,Action
The Walking Dead: The Game -- Episode 4: Around Every Corner ,Xbox 360,7.5,Adventure
The Walking Dead: The Game -- Episode 4: Around Every Corner,Macintosh,7.5,Adventure
XCOM: Enemy Unknown,Xbox 360,8.2,Strategy
XCOM: Enemy Unknown,PC,8.2,Strategy
One Piece: Pirate Warriors,PlayStation 3,6,Action
XCOM: Enemy Unknown,PlayStation 3,8.2,Strategy
Dishonored,Xbox 360,9.2,Action
Dishonored,PC,9.2,Action
Dishonored,PlayStation 3,9.2,Action
Angry Birds Trilogy,Nintendo 3DS,7,"Puzzle, Action"
Angry Birds Trilogy,Xbox 360,7,"Puzzle, Action"
Angry Birds Trilogy,PlayStation 3,7,"Puzzle, Action"
Hell Yeah! Wrath of the Dead Rabbit,PC,4.9,Platformer
Hell Yeah! Wrath of the Dead Rabbit,Xbox 360,4.9,Platformer
Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9,Platformer
World of Warcraft: Mists of Pandaria,PC,8.7,RPG
Pokemon White Version 2,Nintendo DS,9.6,RPG
War of the Roses,PC,7.3,Action
Pokemon Black Version 2,Nintendo DS,9.6,RPG
Drakerider,iPhone,6.5,RPG
Worms Revolution,PlayStation 3,8.5,Strategy
Worms Revolution,PC,8.5,Strategy
Worms Revolution,Xbox 360,8.5,Strategy
Bad Piggies,iPhone,9.2,Action
Resident Evil 6,PlayStation 3,7.9,"Action, Adventure"
Resident Evil 6 ,Xbox 360,7.9,"Action, Adventure"
Shad'O,PC,7,Adventure
Demon's Score,iPhone,6.9,Action
NBA 2K13,Xbox 360,9.1,Sports
NBA 2K13,PlayStation 3,9.1,Sports
NBA 2K13,PC,9.1,Sports
Lili: Child of Geos,iPhone,7,Adventure
Marvel vs. Capcom Origins,Xbox 360,8.2,Fighting
Marvel vs. Capcom Origins,PlayStation 3,8.2,Fighting
Dead or Alive 5,PlayStation 3,8.8,Fighting
Dead or Alive 5,Xbox 360,8.8,Fighting
Realms Of Ancient War,Xbox 360,5.5,Action
Realms Of Ancient War,PlayStation 3,5.5,Action
Anomaly: Warzone Earth,PlayStation 3,8.2,Action
Rayman: Jungle Run,iPhone,8.8,Platformer
FIFA Soccer 13,PC,9,Sports
FIFA Soccer 13,PlayStation 3,9,Sports
Torchlight II,PC,9.1,"Action, RPG"
FIFA Soccer 13,Xbox 360,9,Sports
The Sims 3: Supernatural,PC,4.5,Simulation
Super Hexagon,iPhone,9,Action
Final Fantasy Dimensions,iPhone,8,RPG
Machinarium,PlayStation 3,8,Adventure
They Bleed Pixels,PC,8.2,Platformer
Pro Evolution Soccer 2013,Xbox 360,8.5,Sports
Snapshot ,PC,5,Platformer
F1 2012,PC,9,Racing
F1 2012,PlayStation 3,9,Racing
Jet Set Radio,PlayStation 3,7.5,Action
Jet Set Radio,PlayStation Vita,7.5,Action
Pro Evolution Soccer 2013,PlayStation 3,8.5,Sports
Jet Set Radio,Xbox 360,7.5,Action
F1 2012,Xbox 360,9,Racing
Pro Evolution Soccer 2013,PC,8.5,Sports
Borderlands 2,Xbox 360,9,"Shooter, RPG"
Joe Danger: The Movie,Xbox 360,8,Action
Borderlands 2,PC,9,"Shooter, RPG"
Borderlands 2,PlayStation 3,9,"Shooter, RPG"
Tokyo Jungle,PlayStation 3,8,Adventure
Splice: Tree of Life,iPad,8.5,Puzzle
LittleBigPlanet PS Vita,PlayStation Vita,9,Platformer
NHL 13,Xbox 360,8.5,Sports
NHL 13,PlayStation 3,8.5,Sports
Total War Battles: Shogun,Macintosh,7,Strategy
Guild Wars 2,PC,9,RPG
Double Dragon: Neon,PlayStation 3,3,Fighting
Double Dragon: Neon,Xbox 360,3,Fighting
Total War Battles: Shogun,PC,7,Strategy
Tekken Tag Tournament 2,PlayStation 3,7.5,Fighting
Tekken Tag Tournament 2,Xbox 360,7.5,Fighting
Wild Blood ,iPhone,7,None
Mark of the Ninja,Xbox 360,9,"Action, Adventure"
Mark of the Ninja,PC,9,"Action, Adventure"
Home: A Unique Horror Adventure,Macintosh,6.5,Adventure
Home: A Unique Horror Adventure,PC,6.5,Adventure
Avengers Initiative,iPhone,8,Action
Way of the Samurai 4,PlayStation 3,5.5,"Action, Adventure"
JoJo's Bizarre Adventure HD,Xbox 360,7,Fighting
JoJo's Bizarre Adventure HD,PlayStation 3,7,Fighting
Mass Effect 3: Leviathan,PlayStation 3,7.5,RPG
Mass Effect 3: Leviathan,Xbox 360,7.5,RPG
Mass Effect 3: Leviathan,PC,7.5,RPG
Dark Souls (Prepare to Die Edition),PC,9,"Action, RPG"
Symphony,PC,7,Shooter
Bastion,iPad,9,"Action, RPG"
Thirty Flights of Loving,PC,8,Adventure
Tom Clancy's Ghost Recon Phantoms,PC,7.5,Shooter
Legasista,PlayStation 3,6.5,"Action, RPG"
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9,Adventure
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,9,Adventure
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9,Adventure
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation 3,9,Adventure
Counter-Strike: Global Offensive,Macintosh,8,Shooter
Rock Band Blitz,Xbox 360,8.5,Music
Counter-Strike: Global Offensive,PC,8,Shooter
The World Ends with You: Solo Remix ,iPad,9.5,RPG
Counter-Strike: Global Offensive,PlayStation 3,8,Shooter
The World Ends with You: Solo Remix,iPhone,9.5,RPG
Counter-Strike: Global Offensive,Xbox 360,8,Shooter
Madden NFL 13,PlayStation Vita,6,Sports
Madden NFL 13,PlayStation 3,9,Sports
Madden NFL 13,Xbox 360,9,Sports
Hoodwink,PC,2.5,Adventure
Transformers: Fall of Cybertron,Xbox 360,8.5,Shooter
Transformers: Fall of Cybertron,PlayStation 3,8.5,Shooter
Hero Academy,iPhone,9,Strategy
Hero Academy,PC,9,Board
Puzzle Craft,iPhone,9,Puzzle
Darksiders II,PC,7.5,Action
Left 4 Dead 2: Cold Stream,Macintosh,7,Shooter
Left 4 Dead 2: Cold Stream,PC,7,Shooter
Puzzle Craft,Android,9,Puzzle
Left 4 Dead 2: Cold Stream,Xbox 360,7,Shooter
Horn,iPhone,9,"Action, Adventure"
Retro/Grade,PlayStation 3,7,None
Cafeteria Nipponica,iPhone,6,Simulation
Iron Brigade,PC,9,Action
Sleeping Dogs,Xbox 360,8.5,Action
Sleeping Dogs,PlayStation 3,8.5,Action
Papo &amp; Yo,PlayStation 3,4,Adventure
Darksiders II ,PlayStation 3,7.5,Action
Darksiders II,Xbox 360,7.5,Action
Pitfall,iPhone,7,Platformer
Dust: An Elysian Tail,Xbox 360,8.5,Platformer
Hybrid,Xbox 360,8,Shooter
The Dark Knight Rises,iPhone,5.5,Action
10000000,iPhone,7.5,None
The Political Machine 2012,PC,6.5,Strategy
Sound Shapes,PlayStation 3,9,Platformer
Sound Shapes,PlayStation Vita,9,Platformer
Sound Shapes,PlayStation 4,9,Platformer
Persona 4 Arena,PlayStation 3,9,Fighting
Persona 4 Arena,Xbox 360,9,Fighting
ORC: Vengeance,iPhone,8,RPG
New Super Mario Bros. 2,Nintendo 3DS,8.5,Platformer
MANOS: The Hands of Fate,iPhone,6,Platformer
The Expendables 2 Videogame,PlayStation 3,5.5,Shooter
A Virus Named Tom,PC,7,"Puzzle, Action"
Fieldrunners 2,iPhone,8.5,Strategy
Deadlight,Xbox 360,8.5,Action
Foosball 2012,PlayStation Vita,5.5,Board
Malicious,PlayStation 3,5.5,Action
Orcs Must Die 2,PC,9,Strategy
Foosball 2012,PlayStation 3,5.5,Board
Art Academy: Lessons for Everyone,Nintendo 3DS,8,Productivity
The Secret World ,PC,7,RPG
"Freakyforms: Your Creations, Alive!",Nintendo 3DS,6.5,Productivity
Anna,PC,5.5,Adventure
Thomas Was Alone,PC,8,Platformer
Wreckateer,Xbox 360,6.5,Action
Resonance,PC,7,Adventure
Great Big War Game,iPhone,9.5,Strategy
Railroad Story,iPhone,6,Strategy
Asphalt 7: Heat,iPhone,8,Racing
Tony Hawk's Pro Skater HD,Xbox 360,8,Sports
Comedy Central's Indecision Game,iPhone,7.5,Simulation
Comedy Central's Indecision Game,Android,7.5,Simulation
Kingdom Hearts 3D: Dream Drop Distance,Nintendo 3DS,8.5,"Action, Adventure"
Dyad,PlayStation 3,8.5,"Racing, Action"
Zuma's Revenge,Xbox 360,7,Puzzle
LEGO Batman 2: DC Super Heroes,PC,8.5,"Action, Adventure"
Endless Space,PC,8,Strategy
NCAA Football 13,Xbox 360,8,Sports
NCAA Football 13,PlayStation 3,8,Sports
Apple Jack 2,Xbox 360,8,Platformer
Fray,PC,2,Action
Dungeon Twister,PlayStation 3,3,Board
Test Drive: Ferrari Racing Legends,PlayStation 3,6.5,Racing
Test Drive: Ferrari Racing Legends,PC,6.5,Racing
Test Drive: Ferrari Racing Legends,Xbox 360,6.5,Racing
Spelunky ,Xbox 360,9,Platformer
Roller Coaster Rampage,PC,6.5,Simulation
Rainbow Moon,PlayStation Vita,8,"Strategy, RPG"
Rainbow Moon,PlayStation 3,8,"Strategy, RPG"
Fatal Frame: Deep Crimson Butterfly,Wii,8.5,Adventure
London 2012: The Official Video Game of the Olympic Games,Xbox 360,7,Sports
London 2012: The Official Video Game of the Olympic Games,PlayStation 3,7,Sports
The Elder Scrolls V: Skyrim -- Dawnguard,Xbox 360,8,RPG
The Elder Scrolls V: Skyrim -- Dawnguard,PC,8,RPG
The Elder Scrolls V: Skyrim -- Dawnguard,PlayStation 3,8,RPG
Theatrhythm Final Fantasy,Nintendo 3DS,8.5,"Music, Action"
Jeremy McGrath's Offroad,Xbox 360,7.5,Racing
The Walking Dead: The Game -- Episode 2: Starved For Help,iPad,8.5,Adventure
The Walking Dead: The Game -- Episode 2: Starved For Help,PC,8.5,Adventure
The Walking Dead: The Game -- Episode 2: Starved For Help,PlayStation 3,8.5,Adventure
Jeremy McGrath's Offroad,PlayStation 3,7.5,Racing
The Walking Dead: The Game -- Episode 2: Starved For Help,Macintosh,8.5,Adventure
The Walking Dead: The Game -- Episode 2: Starved For Help,Xbox 360,8.5,Adventure
The Amazing Spider-Man,Nintendo 3DS,7,Action
Spec Ops: The Line,PlayStation 3,8,Shooter
The Amazing Spider-Man,Xbox 360,7,Action
Spec Ops: The Line,Xbox 360,8,Shooter
The Amazing Spider-Man,PlayStation 3,7,Action
Magic: The Gathering -- Duels of the Planeswalkers 2013,PC,8.5,"Card, Battle"
Escape Goat,PC,8,Platformer
Penny Arcade's On the Rain-Slick Precipice of Darkness 3 ,Xbox 360,8,RPG
Magic: The Gathering -- Duels of the Planeswalkers 2012,Xbox 360,8.5,"Card, Battle"
Magic: The Gathering -- Duels of the Planeswalkers 2013,Xbox 360,8.5,"Card, Battle"
Virtua Fighter 5 Final Showdown,Arcade,8.5,Fighting
Magic: The Gathering -- Duels of the Planeswalkers 2013,iPad,8.5,"Card, Battle"
Virtua Fighter 5 Final Showdown,PlayStation 3,8.5,Fighting
Magic: The Gathering -- Duels of the Planeswalkers 2013,PlayStation 3,8.5,"Card, Battle"
Heroes of Ruin,Nintendo 3DS,7,Adventure
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,PlayStation 3,8,RPG
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,PC,8,RPG
Virtua Fighter 5 Final Showdown,Xbox 360,8.5,Fighting
Tiny &amp; Big: Grandpa's Leftovers,PC,7.5,Action
Babel Rising,PlayStation 3,5,Strategy
Babel Rising,Xbox 360,5,Strategy
Quantum Conundrum,PlayStation 3,8,Puzzle
Quantum Conundrum,Xbox 360,8,Puzzle
LEGO Batman 2: DC Super Heroes,Nintendo 3DS,5.5,"Action, Adventure"
Quantum Conundrum,PC,8,Puzzle
LEGO Batman 2: DC Super Heroes,PlayStation Vita,5.5,"Action, Adventure"
Krater,PC,5,RPG
Sid Meier's Civilization V: Gods &amp; Kings,PC,9,Strategy
Ratchet &amp; Clank Collection,PlayStation 3,8.5,"Action, Compilation"
Sid Meier's Civilization V: Gods &amp; Kings,Macintosh,9,Strategy
Steel Battalion: Heavy Armor,Xbox 360,3,"Action, Simulation"
LEGO Batman 2: DC Super Heroes,Wii,8,"Action, Adventure"
LEGO Batman 2: DC Super Heroes ,Xbox 360,8.5,"Action, Adventure"
LEGO Batman 2: DC Super Heroes,PlayStation 3,8.5,"Action, Adventure"
Pokemon Conquest,Nintendo DS,9,"Strategy, RPG"
Lollipop Chainsaw,PlayStation 3,5,Action
Lollipop Chainsaw,Xbox 360,5,Action
Sins of a Solar Empire: Rebellion,PC,7.5,Strategy
Warlock: Master of the Arcane,PC,7.5,Strategy
Dungeon Village,iPhone,8,Simulation
Metal Gear Solid HD Collection,PlayStation Vita,9,"Action, Compilation"
Inversion,Xbox 360,5.5,Shooter
Inversion,PC,5.5,Shooter
Inversion,PlayStation 3,5.5,Shooter
Plague Inc.,iPhone,7,Strategy
Batman: Arkham City -- Harley Quinn's Revenge,PlayStation 3,9,Action
Batman: Arkham City -- Harley Quinn's Revenge,Xbox 360,9,Action
Alan Wake's American Nightmare,PC,7.5,Action
Resistance: Burning Skies,PlayStation Vita,5.5,Shooter
Tera,PC,6.5,RPG
Doctor Who: The Eternity Clock,PlayStation 3,5.5,Action
Dirt Showdown,Xbox 360,6,Racing
Gravity Rush,PlayStation Vita,7.5,Action
Atelier Meruru: The Apprentice of Arland,PlayStation 3,6,RPG
Dirt Showdown,PlayStation 3,6,Racing
Super Monday Night Combat,PC,7.5,Shooter
Tom Clancy's Ghost Recon: Future Soldier (Signature Edition),Xbox 360,8.5,Shooter
Tom Clancy's Ghost Recon: Future Soldier (Signature Edition) ,PlayStation 3,8.5,Shooter
Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,8.5,Shooter
Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,8.5,Shooter
Dragon's Dogma,PlayStation 3,7.5,"Action, RPG"
Sorcery,PlayStation 3,7.5,Adventure
Dragon's Dogma,Xbox 360,7.5,RPG
Sonic the Hedgehog 4: Episode II,Xbox 360,6.5,Platformer
Sonic the Hedgehog 4: Episode II,PlayStation 3,6.5,Platformer
Vessel,PC,8,"Puzzle, Action"
Akai Katana,Xbox 360,7,Shooter
Game of Thrones,PlayStation 3,4,RPG
Mario Tennis Open,Nintendo 3DS,6.5,"Sports, Action"
Game of Thrones,Xbox 360,4,RPG
Orion: Dino Beatdown,PC,2,Shooter
Max Payne 3 (Special Edition),Xbox 360,9,Shooter
Max Payne 3,PC,9,Shooter
Max Payne 3,Xbox 360,9,Shooter
Sniper Elite V2,Xbox 360,8,Action
Max Payne 3,PlayStation 3,9,Shooter
Sniper Elite V2,PlayStation 3,8,Action
Diablo III,PC,9.5,"Action, RPG"
Diablo III,Macintosh,9.5,"Action, RPG"
Max Payne 3 (Special Edition),PlayStation 3,9,Shooter
Analogue: A Hate Story,PC,7,Other
Minecraft,Xbox 360,8.5,Action
Starhawk ,PlayStation 3,9,Shooter
Datura,PlayStation 3,6,"Other, Adventure"
A Valley Without Wind,PC,5.5,Adventure
Awesomenauts,PlayStation 3,7,Shooter
Ski Safari,iPhone,7,Sports
Mortal Kombat,PlayStation Vita,8.5,Fighting
Awesomenauts,Xbox 360,7,Shooter
Fable Heroes,Xbox 360,5,Action
Botanicula,PC,9,Adventure
Prototype 2,PlayStation 3,7,Action
Sword &amp; Sworcery EP,PC,9,Adventure
UEFA Euro 2012,PlayStation 3,6.5,Sports
UEFA Euro 2012,Xbox 360,6.5,Sports
UEFA Euro 2012,PC,6.5,Sports
Prototype 2,Xbox 360,7,Action
StarDrone Extreme,PlayStation Vita,7.5,Action
Risen 2: Dark Waters,PC,6.5,RPG
Bloodforge,Xbox 360,4,Action
The Pinball Arcade,PlayStation 3,8.5,Pinball
The Pinball Arcade,PlayStation Vita,8.5,Pinball
Lone Survivor,PC,8.5,Adventure
Tribes: Ascend,PC,9,Action
The Witcher 2: Assassins of Kings (Enhanced Edition),PC,9,RPG
Insanely Twisted Shadow Planet,PC,8,Shooter
Max Payne,iPhone,6,Action
Disgaea 3: Absence of Detention ,PlayStation Vita,8.5,"Strategy, RPG"
Trials Evolution,Xbox 360,9,Racing
The Witcher 2: Assassins of Kings (Enhanced Edition),Xbox 360,8.5,RPG
Sour Patch Kids: World Gone Sour,PlayStation 3,6.5,Action
Spirit Camera: The Cursed Memoir,Nintendo 3DS,5.5,Adventure
Blacklight: Retribution,PC,8.5,Shooter
Pandora's Tower,Wii,7,Adventure
Ketzal's Corridors,Nintendo 3DS,9,"Puzzle, Action"
Fez,Xbox 360,9.5,Platformer
The Splatters,Xbox 360,8,"Puzzle, Action"
Skullgirls,PlayStation 3,8.5,Fighting
I Am Alive,PlayStation 3,4.5,Action
Skullgirls,Xbox 360,8.5,Fighting
Legend of Grimrock,PC,8.5,RPG
Anomaly: Warzone Earth,Xbox 360,8,Action
Warriors Orochi 3,PlayStation 3,8.5,Action
Diabolical Pitch,Xbox 360,5.5,Action
Warriors Orochi 3,Xbox 360,8.5,Action
The Pinball Arcade,Xbox 360,8.5,Pinball
Colors! 3D,Nintendo 3DS,9,Productivity
Xenoblade Chronicles,Wii,9,RPG
MotorStorm RC,PlayStation 3,8.5,Racing
Kinect: Star Wars,Xbox 360,5.5,Action
Total War: Shogun 2 -- Fall of The Samurai,PC,9,Strategy
Tiger Woods PGA Tour 13,PlayStation 3,6.5,Sports
Devil May Cry HD Collection ,PlayStation 3,7.5,Compilation
Devil May Cry HD Collection,Xbox 360,7.5,Compilation
South Park: Tenorman's Revenge,Xbox 360,7,Platformer
Gettysburg: Armored Warfare,PC,2,Strategy
Rayman Origins,PC,9.5,Platformer
Tiger Woods PGA Tour 13,Xbox 360,6.5,Sports
Armored Core V,PlayStation 3,7.5,Simulation
Kinect Rush: A Disney Pixar Adventure,Xbox 360,6,Action
Closure,PlayStation 3,8.5,Puzzle
Armored Core V,Xbox 360,7.5,Simulation
Chaos Rings II,iPhone,8.5,RPG
Sumioni: Demon Arts,PlayStation Vita,5.5,Action
Kid Icarus Uprising,Nintendo 3DS,8.5,Action
Angry Birds Space,iPhone,8.5,"Puzzle, Action"
Rayman 3: Hoodlum Havoc HD,Xbox 360,7,Platformer
Rayman 3: Hoodlum Havoc HD,PlayStation 3,7,Platformer
Sine Mora,Xbox 360,9,Shooter
Resident Evil: Operation Raccoon City,PlayStation 3,4,"Action, Adventure"
Kingdoms of Amalur: Reckoning -- The Legend of Dead Kel,PlayStation 3,8,RPG
Kingdoms of Amalur: Reckoning -- The Legend of Dead Kel,Xbox 360,8,"Action, RPG"
Resident Evil: Operation Raccoon City,Xbox 360,4,"Action, Adventure"
Defenders of Ardania,PC,4.5,Strategy
Silent Hill HD Collection,PlayStation 3,9,"Adventure, Compilation"
Ninja Gaiden III,Xbox 360,3,Action
Defenders of Ardania,Xbox 360,4.5,Strategy
Dungeon Village ,Android,8,Simulation
Silent Hill HD Collection,Xbox 360,9,"Adventure, Compilation"
Ninja Gaiden III,PlayStation 3,3,Action
FIFA Street,PlayStation 3,8,Sports
FIFA Street,Xbox 360,8,Sports
Waves,PC,8.5,Shooter
Mass Effect Infiltrator,iPhone,6.5,RPG
Microsoft Flight,PC,5,"Flight, Simulation"
Silent Hill: Downpour,Xbox 360,4.5,Adventure
Shoot Many Robots,PlayStation 3,4.5,Shooter
Shoot Many Robots,Xbox 360,4.5,Shooter
Naruto Shippuden: Ultimate Ninja Storm Generations,PlayStation 3,8.5,Fighting
Warp,PlayStation 3,8.5,Action
Naruto Shippuden: Ultimate Ninja Storm Generations,Xbox 360,8.5,Fighting
Yakuza: Dead Souls,PlayStation 3,5,Action
Mass Effect 3,PC,9.5,RPG
Silent Hill: Downpour,PlayStation 3,4.5,Adventure
Mario Party 9,Wii,7,Party
Ridge Racer,PlayStation Vita,3,Racing
MLB 12: The Show,PlayStation Vita,8,Sports
Wargame: European Escalation,PC,8,Strategy
MLB 12: The Show,PlayStation 3,8.5,Sports
Mass Effect 3,Xbox 360,9.5,RPG
Major League Baseball 2K12,Xbox 360,7,Sports
Mass Effect 3,PlayStation 3,9.5,RPG
I Am Alive ,Xbox 360,4.5,Action
Unit 13,PlayStation Vita,7.5,Shooter
Major League Baseball 2K12,PlayStation 3,7,Sports
Street Fighter x Tekken,Xbox 360,9,Fighting
Crusader Kings II,PC,8,Strategy
Realm of the Mad God,Web Games,8,"Action, RPG"
Street Fighter x Tekken,PlayStation 3,9,Fighting
Journey,PlayStation 3,9,Adventure
Pok&eacute;Park 2: Wonders Beyond,Wii,6.5,Adventure
Nexuiz,Xbox 360,8,Shooter
SSX,Xbox 360,9,Sports
Metal Gear Solid 3D Snake Eater,Nintendo 3DS,8.5,Action
SSX,PlayStation 3,9,Sports
Plants vs. Zombies,PlayStation Vita,9,Strategy
Hustle Kings,PlayStation Vita,7,Sports
The Last Story,Wii,8.5,RPG
Virtua Tennis 4: World Tour Edition,PlayStation Vita,7.5,Sports
Beat Sneak Bandit,iPhone,9,"Music, Action"
Dillon's Rolling Western,Nintendo 3DS,8,Adventure
Dynasty Warriors Next,PlayStation Vita,8,Action
League of Evil 2,iPhone,8,Platformer
Binary Domain,Xbox 360,7.5,Action
Syndicate,Xbox 360,7.5,Action
Shinobido 2: Revenge of Zen,PlayStation Vita,4.5,Action
Binary Domain,PlayStation 3,7.5,Action
Syndicate ,PlayStation 3,7.5,Action
Syndicate,PC,7.5,Action
MotorStorm RC,PlayStation Vita,8.5,Racing
F1 2011,PlayStation Vita,7,Racing
Warp,Xbox 360,8.5,Action
Asura's Wrath,Xbox 360,7.5,Action
Tales from Space: Mutant Blobs Attack,PlayStation Vita,9,Platformer
Escape Plan,PlayStation Vita,8,"Puzzle, Action"
Alan Wake's American Nightmare,Xbox 360,8,Action
Asura's Wrath,PlayStation 3,7.5,Action
Hot Shots Golf: World Invitational,PlayStation Vita,6.5,Sports
The House of the Dead III,PlayStation 3,6.5,Shooter
Ninja Gaiden Sigma Plus,PlayStation Vita,8,Action
Alan Wake,PC,9,Action
Rhythm Party,Xbox 360,6.5,Music
Dungeon Hunter: Alliance,PlayStation Vita,5.5,"Action, RPG"
Asphalt Injection,PlayStation Vita,6,Racing
Mario &amp; Sonic at the London 2012 Olympic Games,Nintendo 3DS,6.5,Sports
King Arthur II: The Role-Playing Wargame,PC,6,Strategy
Touch My Katamari,PlayStation Vita,6,Action
Michael Jackson: The Experience HD,PlayStation Vita,6.5,Music
Army Corps of Hell,PlayStation Vita,7,Action
Tales of the Abyss,Nintendo 3DS,7,RPG
Twisted Metal,PlayStation 3,9,"Racing, Action"
BlazBlue: Continuum Shift Extend,PlayStation Vita,8.5,Fighting
Tekken 3D: Prime Edition ,Nintendo 3DS,7.5,Fighting
ModNation Racers: Road Trip,PlayStation Vita,7,Racing
Super Stardust Delta,PlayStation Vita,9.5,Shooter
Uncharted: Golden Abyss,PlayStation Vita,8.5,"Action, Adventure"
Dear Esther,PC,8,Shooter
Rayman Origins,PlayStation Vita,9,Platformer
FIFA Soccer,PlayStation Vita,8,Sports
Lumines: Electronic Symphony,PlayStation Vita,9,Puzzle
Ultimate Marvel Vs. Capcom 3,PlayStation Vita,8,Fighting
Little Deviants,PlayStation Vita,6,Simulation
Gotham City Impostors,PC,7,Shooter
Gotham City Impostors,Xbox 360,7,Shooter
Grand Slam Tennis 2,PlayStation 3,8.5,Sports
Pineapple Smash Crew,PC,5.5,Shooter
Gotham City Impostors,PlayStation 3,7,Shooter
4 Elements II,PC,7.5,Puzzle
Maru's Mission,Nintendo 3DS,3,Action
UFC Undisputed 3,PlayStation 3,9,Fighting
UFC Undisputed 3,Xbox 360,9,Fighting
Grand Slam Tennis 2,Xbox 360,8.5,Sports
Triple Town,iPhone,8,Puzzle
Resident Evil Revelations,Nintendo 3DS,8.5,"Action, Adventure"
The Darkness II,PC,8,Shooter
Jak and Daxter Collection,PlayStation 3,9,Platformer
The Simpsons: The Arcade Game,PlayStation 3,8,"Fighting, Action"
The Darkness II ,Xbox 360,8,Shooter
Kingdoms of Amalur: Reckoning,PC,9,RPG
The Darkness II,PlayStation 3,8,Shooter
Rhythm Heaven Fever,Wii,7,Music
Shank 2,PlayStation 3,8.5,Action
Shank 2,Xbox 360,8.5,Action
Kingdoms of Amalur: Reckoning,Xbox 360,9,RPG
Shank 2,PC,8.5,Action
Kingdoms of Amalur: Reckoning,PlayStation 3,9,RPG
Zack Zero,PlayStation 3,4,Platformer
The Simpsons: The Arcade Game,Xbox 360,8,"Fighting, Action"
Sakura Samurai: Art of the Sword,Nintendo 3DS,9,Action
Happy Action Theater,Xbox 360,8,Party
New Orbit,iPhone,7,Adventure
Soulcalibur V,PlayStation 3,7.5,Fighting
Kingdom Rush,iPad,9,Strategy
NeverDead,Xbox 360,3,Action
